iter	Passed	Remaining
0	138	138167
1	139	69391
2	139	46394
3	140	34894
4	140	27996
5	141	23398
6	141	20114
7	142	17659
8	143	15765
9	143	14231
10	144	12971
11	144	11925
12	145	11039
13	145	10280
14	146	9624
15	147	9047
16	147	8543
17	148	8088
18	148	7683
19	149	7317
20	149	6987
21	150	6687
22	150	6413
23	151	6162
24	152	5929
25	152	5715
26	153	5517
27	153	5332
28	154	5162
29	154	5000
30	155	4850
31	155	4709
32	156	4576
33	156	4452
34	157	4335
35	157	4227
36	158	4123
37	158	4024
38	159	3928
39	159	3838
40	160	3753
41	160	3672
42	161	3594
43	161	3518
44	162	3446
45	162	3379
46	163	3313
47	163	3251
48	164	3191
49	164	3133
50	165	3078
51	165	3024
52	166	2972
53	166	2923
54	167	2874
55	167	2828
56	168	2785
57	168	2742
58	169	2701
59	169	2661
60	170	2623
61	170	2584
62	171	2548
63	171	2512
64	172	2479
65	172	2447
66	173	2415
67	173	2380
68	174	2350
69	174	2320
70	175	2292
71	175	2264
72	176	2237
73	176	2210
74	177	2184
75	177	2159
76	178	2135
77	178	2111
78	179	2087
79	179	2065
80	180	2044
81	180	2022
82	181	2001
83	181	1981
84	182	1959
85	182	1940
86	182	1919
87	183	1900
88	183	1882
89	184	1864
90	184	1846
91	185	1829
92	185	1812
93	186	1796
94	186	1780
95	187	1764
96	187	1749
97	188	1735
98	189	1721
99	189	1707
100	190	1693
101	190	1677
102	190	1662
103	191	1648
104	191	1635
105	192	1622
106	192	1608
107	193	1596
108	193	1584
109	194	1572
110	194	1560
111	195	1548
112	195	1537
113	196	1526
114	196	1515
115	197	1503
116	197	1492
117	198	1482
118	198	1470
119	199	1459
120	199	1449
121	200	1440
122	200	1428
123	200	1418
124	201	1409
125	201	1400
126	202	1390
127	202	1380
128	203	1371
129	203	1363
130	204	1355
131	204	1346
132	205	1338
133	205	1330
134	206	1322
135	206	1314
136	207	1306
137	207	1297
138	208	1290
139	208	1282
140	209	1274
141	209	1267
142	210	1260
143	210	1253
144	211	1246
145	211	1238
146	212	1231
147	212	1224
148	213	1217
149	213	1211
150	214	1204
151	214	1198
152	215	1191
153	215	1184
154	216	1178
155	216	1172
156	217	1165
157	217	1159
158	218	1153
159	218	1148
160	219	1143
161	219	1137
162	220	1131
163	220	1126
164	221	1120
165	222	1115
166	222	1109
167	223	1104
168	223	1098
169	223	1093
170	224	1088
171	225	1083
172	225	1078
173	226	1072
174	226	1067
175	226	1062
176	227	1057
177	227	1052
178	228	1047
179	228	1043
180	229	1036
181	229	1032
182	230	1027
183	230	1022
184	231	1018
185	231	1013
186	232	1009
187	232	1004
188	233	1000
189	233	996
190	234	992
191	234	988
192	235	984
193	235	980
194	236	976
195	236	972
196	237	967
197	237	963
198	238	959
199	238	955
200	239	952
201	240	948
202	240	944
203	241	940
204	241	936
205	241	932
206	242	928
207	242	925
208	243	921
209	243	917
210	244	913
211	244	910
212	245	906
213	245	902
214	246	899
215	246	896
216	247	892
217	247	889
218	248	885
219	248	882
220	249	879
221	249	875
222	250	872
223	250	869
224	251	865
225	251	862
226	252	859
227	252	855
228	253	852
229	253	848
230	253	845
231	254	842
232	254	839
233	255	836
234	255	832
235	256	829
236	256	826
237	257	823
238	257	820
239	258	817
240	258	814
241	258	810
242	259	807
243	259	804
244	260	802
245	260	799
246	261	796
247	261	793
248	262	790
249	262	787
250	262	784
251	263	781
252	263	778
253	264	776
254	264	773
255	265	771
256	265	768
257	266	766
258	266	763
259	267	760
260	267	757
261	268	755
262	268	752
263	269	750
264	269	747
265	269	744
266	270	742
267	270	739
268	271	737
269	271	734
270	272	732
271	272	729
272	273	727
273	273	724
274	273	722
275	274	719
276	274	717
277	275	715
278	275	712
279	276	710
280	276	708
281	277	705
282	277	703
283	278	701
284	278	699
285	279	696
286	279	694
287	280	692
288	280	690
289	281	688
290	281	686
291	282	683
292	282	681
293	282	679
294	283	677
295	283	674
296	284	672
297	284	670
298	285	668
299	285	666
300	285	664
301	286	662
302	286	659
303	287	657
304	287	655
305	288	653
306	288	651
307	289	649
308	289	647
309	290	645
310	290	643
311	290	641
312	291	639
313	291	637
314	292	635
315	292	633
316	293	631
317	293	629
318	294	628
319	294	626
320	295	624
321	295	622
322	296	620
323	296	618
324	297	617
325	297	615
326	298	613
327	298	611
328	298	609
329	299	607
330	299	605
331	300	604
332	300	602
333	301	600
334	301	598
335	302	596
336	302	595
337	302	593
338	303	591
339	303	589
340	304	587
341	304	586
342	305	584
343	305	582
344	306	581
345	306	579
346	306	577
347	307	576
348	307	574
349	308	572
350	308	570
351	309	569
352	309	567
353	310	566
354	310	564
355	311	563
356	311	561
357	312	559
358	312	558
359	313	556
360	313	555
361	313	553
362	314	551
363	314	550
364	315	548
365	315	547
366	316	545
367	316	543
368	317	542
369	317	540
370	318	539
371	318	537
372	318	536
373	319	534
374	319	532
375	320	531
376	320	529
377	321	528
378	321	526
379	322	525
380	322	523
381	322	522
382	323	520
383	323	519
384	324	518
385	324	516
386	325	515
387	325	513
388	326	512
389	326	511
390	327	509
391	327	508
392	328	506
393	328	505
394	329	503
395	329	502
396	329	501
397	330	499
398	330	498
399	331	496
400	331	495
401	332	494
402	332	492
403	333	491
404	333	489
405	333	488
406	334	487
407	334	485
408	335	484
409	335	483
410	336	481
411	336	480
412	337	479
413	337	477
414	337	476
415	338	475
